5502010,Centerpoint High School,CENTERPOINT SCHOOL DISTRICT,6-12,N/A,513,3,11,N/A
5502006,Centerpoint Primary School,CENTERPOINT SCHOOL DISTRICT,K-3,N/A,270,3,15,N/A
2402007,Charleston High School,CHARLESTON SCHOOL DISTRICT,7-12,N/A,416,2,12,N/A
2402006,Charleston Elementary School,CHARLESTON SCHOOL DISTRICT,K-6,N/A,489,2,18,N/A
4802010,Clarendon High School,CLARENDON SCHOOL DISTRICT,7-12,N/A,201,2,9,N/A
4802008,Clarendon Elementary School,CLARENDON SCHOOL DISTRICT,K-6,N/A,279,2,15,N/A
3601005,Clarksville High School,CLARKSVILLE SCHOOL DISTRICT,10-12,N/A,543,5,12,N/A
3601001,Pyron Elementary School,CLARKSVILLE SCHOOL DISTRICT,2-4,N/A,617,5,18,N/A
3601002,Kraus Middle School,CLARKSVILLE SCHOOL DISTRICT,5-6,N/A,384,5,18,N/A
3601004,Clarksville Junior High School,CLARKSVILLE SCHOOL DISTRICT,7-9,N/A,633,5,15,N/A
3601003,Clarksville Primary School,CLARKSVILLE SCHOOL DISTRICT,K-1,N/A,402,5,18,N/A
1305010,Rison High School,CLEVELAND COUNTY SCHOOL DISTRICT,6-12,N/A,450,3,11,N/A
1305001,Kingsland Elementary School,CLEVELAND COUNTY SCHOOL DISTRICT,K-5,N/A,103,3,15,N/A
1305009,Rison Elementary School,CLEVELAND COUNTY SCHOOL DISTRICT,K-5,N/A,283,3,17,N/A
7102008,Clinton Jr High School,CLINTON SCHOOL DISTRICT,6-9,N/A,323,3,15,N/A
7102006,Clinton High School,CLINTON SCHOOL DISTRICT,9-12,N/A,394,3,9,N/A
7102005,Clinton Elementary School,CLINTON SCHOOL DISTRICT,K-5,N/A,608,3,16,N/A
1201002,Concord High School,CONCORD SCHOOL DISTRICT,7-12,N/A,212,2,9,N/A
1201001,Concord Elementary School,CONCORD SCHOOL DISTRICT,K-6,N/A,232,2,15,N/A
2301006,Conway High School,CONWAY SCHOOL DISTRICT,10-12,N/A,2000,16,17,N/A
2301013,Bob Courtway Middle School,CONWAY SCHOOL DISTRICT,5-7,N/A,456,16,15,N/A
2301017,Ray/Phyllis Simon Middle Schoo,CONWAY SCHOOL DISTRICT,5-7,N/A,466,16,15,N/A
2301016,Ruth Doyle Middle School,CONWAY SCHOOL DISTRICT,5-7,N/A,583,16,17,N/A
2301004,Carl Stuart Middle School,CONWAY SCHOOL DISTRICT,5-7,N/A,757,16,19,N/A
2301020,Conway Junior High School,CONWAY SCHOOL DISTRICT,8-9,N/A,1481,16,19,N/A
2301001,Ida Burns Elementary School,CONWAY SCHOOL DISTRICT,K-4,N/A,404,16,22,N/A
2301008,Julia Lee Moore Elem. School,CONWAY SCHOOL DISTRICT,K-4,N/A,407,16,19,N/A
2301011,Jim Stone Elementary School,CONWAY SCHOOL DISTRICT,K-4,N/A,414,16,21,N/A
2301010,Marguerite Vann Elem. School,CONWAY SCHOOL DISTRICT,K-4,N/A,419,16,24,N/A
2301003,Ellen Smith Elementary School,CONWAY SCHOOL DISTRICT,K-4,N/A,439,16,22,N/A
2301012,Theodore Jones Elem. School,CONWAY SCHOOL DISTRICT,K-4,N/A,442,16,21,N/A
2301009,Florence Mattison Elem. School,CONWAY SCHOOL DISTRICT,K-4,N/A,501,16,22,N/A
2301018,Woodrow Cummins Elementary Sch,CONWAY SCHOOL DISTRICT,K-4,N/A,531,16,23,N/A
2301019,Carolyn Lewis Elementary Schoo,CONWAY SCHOOL DISTRICT,K-4,N/A,535,16,22,N/A
1101005,Central Elementary School,CORNING SCHOOL DISTRICT,3-6,N/A,282,3,18,N/A
1101004,Corning High School,CORNING SCHOOL DISTRICT,7-12,N/A,399,3,13,N/A
1101006,Park Elementary School,CORNING SCHOOL DISTRICT,K-2,N/A,208,3,18,N/A
5707023,Cossatot River High School,COSSATOT RIVER SCHOOL DISTRICT,7-12,N/A,398,4,11,N/A
5707024,Umpire K-12 School,COSSATOT RIVER SCHOOL DISTRICT,K-12,N/A,138,4,7,N/A
5707019,Van Cove Elementary School,COSSATOT RIVER SCHOOL DISTRICT,K-6,N/A,173,4,14,N/A
5707021,Wickes Elementary School,COSSATOT RIVER SCHOOL DISTRICT,K-6,N/A,321,4,15,N/A
0302007,Cotter High School,COTTER SCHOOL DISTRICT,7-12,N/A,276,2,10,N/A
0302006,Amanda Gist Elementary School,COTTER SCHOOL DISTRICT,K-6,N/A,400,2,15,N/A
2403012,County Line High School,COUNTY LINE SCHOOL DISTRICT,7-12,N/A,196,2,9,N/A
2403011,County Line Elementary School,COUNTY LINE SCHOOL DISTRICT,K-6,N/A,240,2,16,N/A
6044702,Covenant Keepers Charter,COVENANT KEEPERS CHARTER SCHOOL,6-8,N/A,151,1,20,N/A
1901703,Cross Cnty High A New Tech Sch,CROSS COUNTY SCHOOL DISTRICT,7-12,N/A,269,2,12,N/A
1901701,Cross County Ele Tech Academy,CROSS COUNTY SCHOOL DISTRICT,K-6,N/A,308,2,20,N/A
0201008,Crossett Middle School,CROSSETT SCHOOL DISTRICT,5-8,N/A,511,3,15,N/A
0201006,Crossett High School,CROSSETT SCHOOL DISTRICT,9-12,N/A,493,3,11,N/A
0201001,Crossett Elementary School,CROSSETT SCHOOL DISTRICT,K-4,N/A,710,3,21,N/A
2601002,Cutter-Morning Star High Sch.,CUTTER-MORNING STAR SCHOOL DISTRICT,7-12,N/A,284,2,11,N/A
2601001,Cutter-Morning Star Elem. Sch.,CUTTER-MORNING STAR SCHOOL DISTRICT,K-6,N/A,312,2,20,N/A
7503007,Danville Middle School,DANVILLE SCHOOL DISTRICT,5-8,N/A,261,3,16,N/A
7503006,Danville High School,DANVILLE SCHOOL DISTRICT,8-12,N/A,264,3,9,N/A
7503005,S.C. Tucker Elementary School,DANVILLE SCHOOL DISTRICT,K-4,N/A,302,3,13,N/A
7504009,Dardanelle Intermediate School,DARDANELLE SCHOOL DISTRICT,4-5,N/A,350,4,21,N/A
7504010,Dardanelle Middle School,DARDANELLE SCHOOL DISTRICT,6-8,N/A,455,4,16,N/A
7504011,Dardanelle High School,DARDANELLE SCHOOL DISTRICT,9-12,N/A,555,4,13,N/A
7504013,Dardanelle Primary School,DARDANELLE SCHOOL DISTRICT,K-3,N/A,724,4,20,N/A
0402011,Decatur Middle School,DECATUR SCHOOL DISTRICT,5-8,N/A,155,3,16,N/A
0402009,Decatur High School,DECATUR SCHOOL DISTRICT,9-12,N/A,142,3,8,N/A
0402008,Decatur Northside Elementary,DECATUR SCHOOL DISTRICT,K-5,N/A,248,3,16,N/A
5106004,Mt. Judea K-12 School,DEER/MT. JUDEA SCHOOL DISTRICT,K-12,N/A,121,2,8,N/A
5106003,Deer K-12 School,DEER/MT. JUDEA SCHOOL DISTRICT,K-12,N/A,195,2,10,N/A
6701003,Dequeen High School,DEQUEEN SCHOOL DISTRICT,10-12,N/A,474,5,12,N/A
6701001,Dequeen Elementary School,DEQUEEN SCHOOL DISTRICT,3-5,N/A,570,5,17,N/A
